Programa,Anualidad,Mes,Financiacion,ANSI,Afectacion,Monto,COFI
CAFI,2021,DICIEMBRE ENERO,AVANCE CON TC,1,EGRESOS,1.8,TC
CAFI,2021,FEBRERO,AVANCE CON TD,1,OTROS,3.1,TC
CAFI,2021,MARZO,AVANCE CON TD,1,EGRESOS,0.3,TC
CAFI,2021,ABRIL,AVANCE CON TC,1,EGRESOS,22.7,TC
CAFI,2021,MAYO,AVANCE CON TC,1,EGRESOS,9,TC
CAFI,2021,JUNIO,AVANCE CON TC,1,EGRESOS,27.2,TC
CAFI,2021,JULIO,AVANCE CON TC,1,EGRESOS,1.9,TC
CAFI,2021,AGOSTO,AVANCE CON TD,1,EGRESOS,8.6,TC
CAFI,2021,SEPTIEMBRE,AVANCE CON TC,1,EGRESOS,14.9,TC
CAFI,2021,OCTUBRE,AVANCE CON TD,1,EGRESOS,30.2,TC
CAFI,2021,NOVIEMBRE,AVANCE CON TC,1,EGRESOS,4.5,TC
CAFI,2021,DICIEMBRE,AVANCE CON TC,1,EGRESOS,29.2,TC
CAFI,2022,ENERO,AVANCE CON TD,1,EGRESOS,1.3,TC
CAFI,2022,FEBRERO,AVANCE CON TD,1,EGRESOS,9.4,TC
CAFI,2022,MARZO,AVANCE CON TC,1,EGRESOS,14.4,TC
CAFI,2022,ABRIL,AVANCE CON TC,1,EGRESOS,27.3,TC
CAFI,2022,MAYO,AVANCE CON TC,1,EGRESOS,2.1,TC
CAFI,2022,JUNIO,AVANCE CON TD,1,EGRESOS,25.2,TC
CAFI,2022,JULIO,AVANCE CON TD,1,EGRESOS,0.7,TC
CAFI,2022,AGOSTO,AVANCE CON TD,1,EGRESOS,7.8,TC
CAFI,2022,SEPTIEMBRE,AVANCE CON TD,1,EGRESOS,14.6,TC
CAFI,2022,OCTUBRE,AVANCE CON TC,1,EGRESOS,69.4,TC
CAFI,2022,NOVIEMBRE,AVANCE CON TC,1,EGRESOS,6.8,TC
CAFI,2022,DICIEMBRE,AVANCE CON TC,1,EGRESOS,77.5,TC

